Text,Label
Tum meri saanson ki aadat ban gaye ho.,Romantic
Tere bina har khushi adhoori si lagti hai. Khud se wada hai.,Romantic
Teri khamoshi bhi mujhe sab keh jaati hai. Dil se.,Romantic
Tum saath ho to har darr chhota lagta hai. Har pal.,Romantic
Tere bina har khushi adhoori si lagti hai.,Romantic
Teri aankhon mein mera kal basa hai. Har pal.,Romantic
Teri khamoshi bhi mujhe sab keh jaati hai. Aaj bhi.,Romantic
Teri baaton mein ghar jaisa sukoon hai. Khud se wada hai.,Romantic
Teri aankhon mein mera kal basa hai. Khud se wada hai.,Romantic
Teri muskaan se hi meri subah roshan hoti hai. Har pal.,Romantic
Teri khamoshi bhi mujhe sab keh jaati hai.,Romantic
Tera naam likhu to lafz mehek jaate hain.,Romantic
Tera naam likhu to lafz mehek jaate hain. Hamesha.,Romantic
Tere bina har khushi adhoori si lagti hai. Har pal.,Romantic
Tera naam likhu to lafz mehek jaate hain. Hamesha.,Romantic
Teri aankhon mein mera kal basa hai. Aaj bhi.,Romantic
Teri muskaan se hi meri subah roshan hoti hai. Khud se wada hai.,Romantic
Teri baaton mein ghar jaisa sukoon hai. Dil se.,Romantic
Tere bina har khushi adhoori si lagti hai.,Romantic
Teri baaton mein ghar jaisa sukoon hai. Khud se wada hai.,Romantic
Teri aankhon mein mera kal basa hai. Aaj bhi.,Romantic
Tum meri saanson ki aadat ban gaye ho. Aaj bhi.,Romantic
Teri khamoshi bhi mujhe sab keh jaati hai. Dil se.,Romantic
Teri baaton mein ghar jaisa sukoon hai. Har pal.,Romantic
Tere bina har khushi adhoori si lagti hai.,Romantic
Teri khamoshi bhi mujhe sab keh jaati hai. Dil se.,Romantic
Teri baaton mein ghar jaisa sukoon hai. Hamesha.,Romantic
Tum saath ho to har darr chhota lagta hai. Hamesha.,Romantic
Teri aankhon mein mera kal basa hai. Hamesha.,Romantic
Teri baaton mein ghar jaisa sukoon hai. Hamesha.,Romantic
Teri baaton mein ghar jaisa sukoon hai. Har pal.,Romantic
Tere bina har khushi adhoori si lagti hai.,Romantic
Tum meri saanson ki aadat ban gaye ho.,Romantic
Tum meri saanson ki aadat ban gaye ho. Khud se wada hai.,Romantic
Tera naam likhu to lafz mehek jaate hain. Dil se.,Romantic
Teri baaton mein ghar jaisa sukoon hai. Hamesha.,Romantic
Teri khamoshi bhi mujhe sab keh jaati hai.,Romantic
Teri aankhon mein mera kal basa hai. Har pal.,Romantic
Teri muskaan se hi meri subah roshan hoti hai. Dil se.,Romantic
Teri muskaan se hi meri subah roshan hoti hai.,Romantic
Tere bina har khushi adhoori si lagti hai. Aaj bhi.,Romantic
Tum meri saanson ki aadat ban gaye ho. Dil se.,Romantic
Teri baaton mein ghar jaisa sukoon hai.,Romantic
Teri baaton mein ghar jaisa sukoon hai. Hamesha.,Romantic
Tum meri saanson ki aadat ban gaye ho.,Romantic
Tere bina har khushi adhoori si lagti hai. Har pal.,Romantic
Teri muskaan se hi meri subah roshan hoti hai. Aaj bhi.,Romantic
Tum meri saanson ki aadat ban gaye ho. Har pal.,Romantic
Tera naam likhu to lafz mehek jaate hain. Hamesha.,Romantic
Tum saath ho to har darr chhota lagta hai. Aaj bhi.,Romantic
Teri baaton mein ghar jaisa sukoon hai. Khud se wada hai.,Romantic
Teri muskaan se hi meri subah roshan hoti hai. Hamesha.,Romantic
Teri baaton mein ghar jaisa sukoon hai.,Romantic
Tera naam likhu to lafz mehek jaate hain. Hamesha.,Romantic
Tum meri saanson ki aadat ban gaye ho. Har pal.,Romantic
Tere bina har khushi adhoori si lagti hai. Dil se.,Romantic
Tum saath ho to har darr chhota lagta hai. Har pal.,Romantic
Tum meri saanson ki aadat ban gaye ho. Aaj bhi.,Romantic
Tera naam likhu to lafz mehek jaate hain. Dil se.,Romantic
Teri aankhon mein mera kal basa hai. Har pal.,Romantic
Tera naam likhu to lafz mehek jaate hain.,Romantic
Tum meri saanson ki aadat ban gaye ho. Har pal.,Romantic
Tum saath ho to har darr chhota lagta hai. Dil se.,Romantic
Tere bina har khushi adhoori si lagti hai. Har pal.,Romantic
Teri muskaan se hi meri subah roshan hoti hai. Aaj bhi.,Romantic
Teri baaton mein ghar jaisa sukoon hai. Hamesha.,Romantic
Teri muskaan se hi meri subah roshan hoti hai.,Romantic
Teri baaton mein ghar jaisa sukoon hai. Dil se.,Romantic
Tere bina har khushi adhoori si lagti hai. Har pal.,Romantic
Tere bina har khushi adhoori si lagti hai. Dil se.,Romantic
Teri aankhon mein mera kal basa hai. Aaj bhi.,Romantic
Teri khamoshi bhi mujhe sab keh jaati hai. Dil se.,Romantic
